MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,TASTE
13.021706575217578,-1.3846977607362712,13.021706575217578,0.019234989731022,0.15200174757971596,503.62200000000024,466.3260000000003,503.24136952399994,194,0,0.32591586139994805,-0.4797121296692186,0.4797121296692186,0.32591586139994805,1.0294117647058822,1.6470588235294117,2.1470588235294117,32.11686836883754,10.011540993861464,2.3971382596366997,-2.302515660993072,2.192265880871649,-2.600727169037331,7.7985326444606144,-0.150458361876372,2.944684228261463,763.7942882832899,26.162407748957516,19.984431893768893,20.878859084768806,15.792707873231224,11.285149615226741,11.917605147260415,8.964825345900591,9.329973717570702,5.492757231680084,5.88614992819303,3.5769315995028546,3.7427542916703747,-2.3800000000000003,13145235.569795078,29.651625553447186,13.493237444501215,8.43860568263191,204.33271774828526,36.79699780971306,24.167363316591842,0.0,23.628718917406022,0.0,5.969305287951849,19.178148736287287,4.794537184071822,12.628789148012991,0.0,13.847474399381248,39.02784531432067,12.297610012659364,12.145807216896262,34.18574071004052,42.22681335337086,0.0,20.850275542869472,11.651573523323577,83.27058420102863,12.297610012659364,0.0,0.0,0.0,21.684033289181176,0.0,0.0,12.628789148012991,93.32176927203724,23.97268592035911,5.917906046161393,46.95741366754052,0.0,0.0,0.0,0.0,191.15999999999997,65.91119473884598,34.18574071004052,0.0,31.057159304672776,6.4208216229260096,4.899909730850478,13.847474399381248,0.0,13.847474399381248,28.579154960031982,5.733667477162185,0.0,3.9393100663945533,63.10711918770316,26.988538968929024,5.5913170901822005,-3.6982060117098676,-5.356373032888268,-0.3025954312738879,6.619778051551972,0.0,0.7619047619047619,34,7,12,0,1,1,0,0,0,8,7,13,12,0,1,1,1,-1.7796999999999925,126.80110000000006,1,1,1,0,0,0,0,0,1,1,5,4,0,0,0,1,3,1,0,0,1,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11.805803099017385,-1.2418018287561934,11.805803099017385,0.16074829931972778,0.35482216129075095,289.288,270.13599999999997,289.127385328,114,0,0.325403384272737,-0.48122926245046976,0.48122926245046976,0.325403384272737,1.05,1.6,2.0,16.370272887991927,10.099840267816964,2.25081788029823,-2.1987712801071644,1.997526755779394,-2.5305770034033532,5.912756787826799,-0.14207412856430734,4.727096130697261,395.6197006427889,15.869879009073573,11.251034991986968,11.251034991986968,9.14564216548981,5.956921402171472,5.956921402171472,4.350776849467221,4.350776849467221,2.4226122073347423,2.4226122073347423,1.215508921532305,1.215508921532305,-2.1599999999999997,11610.026617651052,17.839999999999996,8.099537910876238,6.686991636021236,115.06284314059154,26.58029947485626,12.083681658295921,0.0,11.814359458703011,0.0,11.938610575903699,19.178148736287287,0.0,0.0,0.0,0.0,20.268296022307258,6.4208216229260096,6.041840829147961,29.3912035259687,23.75297003460671,0.0,10.633577208012662,5.733667477162185,44.814640132677155,0.0,0.0,0.0,0.0,16.367244685174846,0.0,0.0,0.0,52.09154731173199,19.178148736287287,0.0,26.689117645233267,0.0,0.0,0.0,0.0,158.82,41.878492522050585,19.178148736287287,0.0,12.841643245852019,0.0,0.0,13.847474399381248,0.0,0.0,10.633577208012662,15.946722266843596,0.0,0.0,44.3989038223314,21.723203866423113,5.335626784664483,-3.7716205278407653,-3.166245013437475,-0.509189342403628,2.655987076929537,0.0,0.6363636363636364,20,6,9,0,0,0,0,0,0,5,5,9,8,0,0,0,0,-1.7274999999999974,67.69040000000003,2,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10.98949074074074,-1.0700869236583517,10.98949074074074,0.012773053665910528,0.5183617868000218,174.2,160.088,174.100442308,70,0,0.322470355238633,-0.47993044150713143,0.47993044150713143,0.322470355238633,1.5,2.0,2.3333333333333335,16.3667009930475,10.053424746747138,2.164284136759373,-2.133656251150434,1.964455139567007,-2.449384033270084,5.846231978174663,-0.137784747016935,3.796840061984721,179.4903018475817,9.723614639131599,7.202867765183109,7.202867765183109,5.447264862732148,3.6990042090411217,3.6990042090411217,2.8813430628472587,2.8813430628472587,1.4348278720136054,1.4348278720136054,0.5833288510611699,0.5833288510611699,-1.1,291.01830109182725,10.900000000000002,4.712330989724177,3.9223854247581387,70.9359345471135,16.156983476009223,6.544756405912575,0.0,5.907179729351506,0.0,5.969305287951849,9.589074368143644,0.0,0.0,0.0,13.847474399381248,5.917906046161393,0.0,6.041840829147961,14.69560176298435,11.876485017303356,0.0,5.316788604006331,11.651573523323577,19.88931522852921,6.544756405912575,0.0,0.0,0.0,11.050456081168516,0.0,0.0,0.0,29.569609647204594,9.589074368143644,5.917906046161393,13.847474399381248,0.0,0.0,0.0,0.0,92.42,17.918325846451317,9.589074368143644,0.0,12.462662452073968,0.0,0.0,0.0,13.847474399381248,0.0,5.316788604006331,10.84019487200289,0.0,0.0,21.030157785336357,10.426934051398337,5.441246220710506,-1.4810175736961444,-0.6348611111111115,0.0,3.2175406273620553,0.0,0.7142857142857143,12,4,5,0,0,0,0,0,0,3,3,5,4,0,0,0,0,-0.829499999999999,43.4589,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11.790115583270344,-1.0618896447467872,11.790115583270344,0.03595353573528204,0.7076839757627938,264.325,244.16499999999996,264.1473925,104,0,0.3260467944000736,-0.4797086315573792,0.4797086315573792,0.3260467944000736,1.263157894736842,1.8421052631578947,2.3157894736842106,16.368264524966705,10.02259465940544,2.2435296743274,-2.194373939516351,2.0481593457872713,-2.5057753098840574,5.866118180885451,-0.14166177249203418,2.69000199157325,431.5770341177843,14.41384908344359,11.166969380320866,11.166969380320866,8.913591357920934,6.241732980624295,6.241732980624295,4.8589349269635935,4.8589349269635935,2.9182194791360523,2.9182194791360523,1.6205706442616195,1.6205706442616195,-1.88,13189.579767075977,15.178411214953275,6.894344176913592,4.7107286197054945,112.35797086757418,16.156983476009223,6.041840829147961,0.0,5.907179729351506,0.0,5.969305287951849,4.794537184071822,4.794537184071822,0.0,0.0,44.179309741689295,11.48135753785839,6.4208216229260096,6.041840829147961,14.69560176298435,11.876485017303356,0.0,5.316788604006331,11.651573523323577,32.351977680603184,0.0,35.89528683400505,0.0,0.0,11.050456081168516,0.0,0.0,0.0,29.06669407043998,16.00989599106965,5.917906046161393,19.410925891078243,30.33183534230805,0.0,0.0,0.0,92.42,23.960166675599275,9.589074368143644,0.0,12.338727669087403,0.0,5.563451491696996,0.0,0.0,44.179309741689295,5.316788604006331,10.84019487200289,0.0,0.0,22.96636889014865,11.630866402116403,6.551783509700177,-1.5299439930293102,7.5047734525909116,0.24278628117913836,3.633365457294029,0.0,0.42857142857142855,19,4,5,0,0,0,1,0,1,3,3,5,6,0,0,0,1,0.7817999999999998,72.52590000000004,1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.756724615772233,-1.2038302925496283,12.756724615772233,0.030623356321408224,0.37299193497386685,420.4660000000001,392.2420000000002,420.2008846159999,164,0,0.32604706380338117,-0.5079666451554685,0.5079666451554685,0.32604706380338117,1.1666666666666667,1.8,2.3666666666666667,16.36843219205621,10.048348109949272,2.373827775727839,-2.2803404522584825,2.1919872850882185,-2.555250809050814,5.938427854055616,-0.1442926149553439,2.035701897952659,794.9913596960491,22.42192077295136,16.99921349580815,16.99921349580815,14.095131908272991,9.773245485790044,9.773245485790044,7.4785927776765675,7.4785927776765675,4.972034739325265,4.972034739325265,3.294105381627846,3.294105381627846,-3.1399999999999997,3448417.5188389784,23.141996589449146,10.059031784351099,5.928366953188448,173.9687662065195,31.480209205706736,23.875034320727785,0.0,17.721539188054518,0.0,5.969305287951849,14.383611552215466,4.794537184071822,0.0,0.0,12.13273413692322,44.38530327385348,12.965578028838586,6.041840829147961,29.3912035259687,23.69084447600637,0.0,15.533486938863138,5.733667477162185,57.277302584751126,6.544756405912575,29.828919765543436,0.0,5.749511833283905,16.367244685174846,0.0,5.749511833283905,0.0,69.51592871904268,25.598970359213297,0.0,32.25256913693026,24.26546827384644,0.0,0.0,0.0,162.06,47.85820779259821,29.3912035259687,0.0,12.170333456209914,24.94985114346159,0.0,30.880118267154945,12.13273413692322,0.0,10.633577208012662,5.733667477162185,0.0,0.0,50.19188166652717,23.84682537496507,6.129063570311412,-2.605954850166575,2.39851541618847,1.0212630785019856,3.351739077005792,0.0,0.5,30,6,10,0,1,1,1,0,1,6,5,10,8,0,1,1,2,-0.6529999999999967,107.36640000000006,1,0,0,0,0,0,0,1,1,1,4,3,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.357147581254724,-1.190515820525741,12.357147581254724,0.030392517084886883,0.34522452312655055,359.42300000000006,330.1910000000001,359.205635648,144,0,0.32570623125088843,-0.48122926245046976,0.48122926245046976,0.32570623125088843,0.92,1.44,1.84,16.370390241489005,10.014934319865004,2.2882874048355206,-2.2372670875261065,2.073114158777922,-2.5507627961913912,5.916244036101041,-0.1430179243138632,5.103791999038949,492.26172467796005,19.731686328639373,15.112842311552768,15.112842311552768,11.450172618130125,8.261451854811781,8.261451854811781,6.792349205579013,6.792349205579013,3.6225328753946027,3.6225328753946027,2.0725181101112473,2.0725181101112473,-2.16,109430.73487981201,22.84,10.65247259737366,9.03872619822657,146.88755371257457,26.58029947485626,12.083681658295921,0.0,11.814359458703011,0.0,11.938610575903699,14.383611552215466,4.794537184071822,0.0,0.0,27.694948798762496,24.677455338174802,6.4208216229260096,6.041840829147961,29.3912035259687,23.75297003460671,0.0,10.633577208012662,17.56947956948497,65.0829361549844,0.0,0.0,0.0,0.0,16.367244685174846,0.0,0.0,0.0,52.09154731173199,19.178148736287287,11.835812092322787,46.95741366754052,0.0,0.0,0.0,0.0,158.82,41.878492522050585,24.284676131127995,0.0,31.098276961100815,0.0,0.0,0.0,13.847474399381248,13.847474399381248,10.633577208012662,10.84019487200289,0.0,0.0,46.448406645129225,22.776003529549254,5.725598216151066,-3.7823959728009147,-3.1352061549928623,-0.296508146468464,7.097435216766025,0.0,0.75,25,6,9,0,0,0,0,0,0,5,5,9,11,0,0,0,0,-0.06519999999999643,90.63540000000005,2,0,0,0,0,0,0,0,2,2,4,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.7373547698211,-1.8572838783891286,12.7373547698211,0.49550587174604543,0.055492464674849175,638.5840000000003,600.2800000000003,638.2395145160001,250,0,0.3257123929984948,-0.48122926245046976,0.48122926245046976,0.3257123929984948,0.5454545454545454,0.8409090909090909,1.1363636363636365,16.374858104558776,10.078281949386765,2.325869622299978,-2.2528305934172272,2.02633797674589,-2.609497402894114,5.962230443386828,-0.1435310354403154,5.508770439196304,1055.1156327595838,34.14553541208295,23.465031114033444,23.465031114033444,20.477778383433414,12.928487392808162,12.928487392808162,9.323045401623085,9.323045401623085,5.81045049271352,5.81045049271352,3.220397854647577,3.220397854647577,-4.440000000000001,758592982.9289346,39.56,19.69144012843769,14.152350620466812,248.70899222533004,68.06330226107879,36.25104497488776,0.0,29.535898646757527,0.0,17.90791586385555,33.561760288502754,4.794537184071822,0.0,0.0,0.0,19.765380445542643,12.841643245852019,25.924612281287057,74.10198923645952,47.44381451061307,0.0,26.583943020031654,5.733667477162185,74.96203505403072,19.820645893538753,0.0,0.0,0.0,32.31761049719384,0.0,0.0,0.0,145.36516353067282,38.356297472574575,0.0,32.60702369139466,0.0,0.0,0.0,0.0,364.34,135.30275825849193,58.78240705193739,0.0,0.0,0.0,0.0,6.923737199690624,0.0,21.267154416025324,5.316788604006331,21.0532496616843,0.0,0.0,95.52688498925214,74.9920131526851,5.498897242908923,-10.298320034353493,-10.304581271506772,-3.6235564610526247,-2.1246709512666064,0.0,0.6521739130434783,44,14,21,0,0,0,0,0,0,13,13,21,21,0,0,0,0,-7.0904000000000105,141.9425,3,4,4,0,0,0,0,0,3,3,8,5,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12.097675631981186,-1.2355246913580242,12.097675631981186,0.009134647686234842,0.33883523704577245,353.37500000000006,330.1910000000001,353.15868545599994,138,0,0.32604706177962794,-0.5079666451554685,0.5079666451554685,0.32604706177962794,1.08,1.64,2.12,16.36844816125297,10.053106394750516,2.2623854666848007,-2.2080217568234213,2.1119145209577725,-2.550685415549683,5.912376654187485,-0.1417365066573949,2.6746220483459364,616.8009971137855,19.14589989101247,13.969644861784646,13.969644861784646,11.611968660678597,7.665696685065953,7.665696685065953,5.766646207140888,5.766646207140888,3.56526855713739,3.56526855713739,1.9587656409169707,1.9587656409169707,-2.65,182885.68761751897,20.394742729306493,8.996044936903665,6.39706821460081,144.3877068844112,31.686826869696965,23.875034320727785,0.0,11.814359458703011,0.0,5.969305287951849,9.589074368143644,4.794537184071822,0.0,0.0,12.13273413692322,31.54366002800146,6.4208216229260096,6.103966387748303,29.703193736737582,17.78366474665486,0.0,10.633577208012662,5.733667477162185,44.49778489749944,0.0,29.828919765543436,0.0,5.749511833283905,16.367244685174846,0.0,5.749511833283905,0.0,57.33273580636915,20.804433175141476,0.0,19.410925891078243,24.26546827384644,0.0,0.0,0.0,161.98000000000002,42.01315362184704,29.703193736737582,0.0,12.170333456209914,5.563451491696996,0.0,25.980208536304467,12.13273413692322,0.0,10.633577208012662,5.733667477162185,0.0,0.0,35.1676202252998,32.40074200129065,6.073558045176704,-2.605129859965023,2.4904690734660404,-1.0774155386470852,2.7168227200455735,0.0,0.4375,25,7,9,0,0,0,1,0,1,6,6,9,8,0,0,0,1,-1.2830999999999984,88.63820000000003,1,1,1,0,0,0,0,1,1,1,3,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14.024812464697597,-1.9147028473245593,14.024812464697597,0.004619507613711882,0.015673507805334844,1065.2149999999997,988.6069999999996,1064.517209972,416,0,0.32569669270836027,-0.48122926245045566,0.48122926245045566,0.32569669270836027,0.5205479452054794,0.9041095890410958,1.273972602739726,32.166367364578065,9.98839148186063,2.3603060036148915,-2.2879830101811907,2.123801184356811,-2.6133665367267165,7.981022457414657,-0.1430010997681999,6.556198390739826,1894.7782164389548,56.11986242784157,41.85755298264596,42.67404956357369,34.07291029170639,23.39647734938056,24.79032419949791,17.85304148392464,18.838640043578124,10.49478450558819,11.138735056447565,6.608133012682016,7.079537533473046,-6.370000000000002,350690482360425.06,66.63,34.89869742809447,27.315438988233904,426.04596751727246,89.9575967594256,54.376567462331636,5.959554568743835,47.257437834812045,0.0,17.90791586385555,53.35465544650974,4.794537184071822,11.761884949391115,0.0,27.694948798762496,75.71392344275368,19.386399651764595,19.31773031677414,83.37907339383429,82.88679321680256,5.409283605791522,47.85109743605698,23.303147046647155,152.88661445486716,31.767143125196608,0.0,0.0,0.0,59.31843239038136,0.0,0.0,11.761884949391115,194.01174961173217,52.73990902479004,17.24509569811431,92.40608060478722,0.0,0.0,0.0,0.0,493.3099999999999,164.5429379694774,83.37907339383429,0.0,56.44423118160924,5.752853606746789,0.0,18.685622149081738,33.9507179822739,0.0,47.85109743605698,16.876618560115894,0.0,1.319236730595887,142.8427108919766,86.5304522129269,10.750407216015745,-13.231956936370338,-14.071137558173211,-2.5052103591543724,6.198831135516141,0.0,0.7209302325581395,73,20,29,0,0,0,0,0,0,17,18,30,37,0,0,0,0,-5.5197300000000284,261.7085999999995,3,3,3,0,0,0,0,0,3,3,11,8,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
12.513639928193498,-1.4210271531452092,12.513639928193498,0.05737252771478962,0.26694725627590943,381.3850000000002,358.20100000000014,381.1536000759999,148,0,0.32571238397085556,-0.48122925578688586,0.48122925578688586,0.32571238397085556,0.9629629629629629,1.5555555555555556,2.074074074074074,16.37155634667016,10.035037910127242,2.278993502413107,-2.2222421536692627,2.0564332513111716,-2.5540203391114313,5.916574215969945,-0.14299652620482886,2.9052365147595682,665.7506959358886,20.396976746569035,14.499213495808153,14.499213495808153,12.739289860616424,8.199182203853017,8.199182203853017,5.871789699161235,5.871789699161235,3.7105606882483686,3.7105606882483686,2.2182511058448253,2.2182511058448253,-2.98,568112.0106863079,22.06163197335554,10.886726019535727,7.8394090456871846,154.91417109885154,31.686826869696958,18.12552248744388,0.0,11.814359458703011,0.0,11.938610575903699,14.383611552215466,4.794537184071822,0.0,0.0,30.33183534230805,11.984273114623004,12.841643245852019,6.606881964512918,34.4977309208094,23.75297003460671,0.0,10.633577208012662,5.733667477162185,37.38798735622191,6.606881964512918,35.89528683400505,0.0,0.0,16.367244685174846,0.0,0.0,0.0,63.80495667108562,25.598970359213293,0.0,18.405094737549014,30.33183534230805,0.0,0.0,0.0,179.04999999999995,54.906196109489514,19.178148736287287,0.0,12.841643245852019,5.563451491696996,0.0,0.0,30.33183534230805,0.0,10.633577208012662,21.0532496616843,0.0,0.0,46.35493366817879,31.437335169642935,6.137455961430078,-4.151733695480537,4.870211738660475,-0.691726514309938,-0.6231429947884677,0.0,0.4117647058823529,27,7,10,0,0,0,1,0,1,6,6,10,11,0,0,0,1,-1.5322999999999949,93.57420000000005,2,1,1,0,0,0,0,0,2,2,4,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
